,Time,Con,y,Sum
0,07.01.2017,2926.0,0.0,0.0
1,07.05.2017,2866.0,60.0,986.05
2,07.06.2017,2411.0,455.0,7327.25
3,07.10.2017,2391.0,20.0,274.6
4,07.17.2017,2086.0,305.0,5017.25
5,07.21.2017,2056.0,30.0,538.8
6,07.24.2017,1446.0,610.0,10955.6
7,07.25.2017,481.0,717.5,13249.45
8,07.26.2017,1396.0,0.0,0.0
9,07.27.2017,716.0,680.0,11246.8
10,07.28.2017,411.0,305.0,4562.8
11,07.31.2017,2241.0,0.0,0.0
12,08.02.2017,2141.0,100.0,1600.0
13,08.04.2017,2111.0,30.0,528.0
14,08.11.2017,1166.0,717.5,14754.0
15,08.17.2017,882.0,284.0,4576.0
16,08.21.2017,832.0,717.5,14487.6
17,08.23.2017,2017.0,35.0,588.0
18,08.24.2017,1977.0,40.0,640.0
19,08.28.2017,1967.0,10.0,176.0
20,08.31.2017,1753.0,214.0,3606.4
21,09.05.2017,2973.0,0.0,0.0
22,09.06.2017,4163.0,30.0,480.0
23,09.07.2017,4143.0,20.0,352.0
24,09.12.2017,4093.0,50.0,800.0
25,09.13.2017,3483.0,610.0,9760.0
26,09.18.2017,3178.0,305.0,4880.0
27,09.19.2017,3143.0,35.0,616.0
28,09.21.2017,2943.0,200.0,3200.0
29,09.27.2017,2638.0,305.0,4562.8
30,09.28.2017,2523.0,115.0,1920.0
31,09.29.2017,2373.0,150.0,2520.0
32,10.02.2017,1458.0,717.5,14640.0
33,10.05.2017,834.0,624.0,10006.0
34,10.10.2017,814.0,20.0,320.0
35,10.11.2017,749.0,65.0,1144.0
36,10.12.2017,699.0,50.0,880.0
37,10.13.2017,282.0,417.0,6771.0
38,10.16.2017,2012.0,100.0,1496.0
39,10.18.2017,1987.0,25.0,400.0
40,10.24.2017,1972.0,15.0,264.0
41,10.25.2017,1822.0,150.0,2352.0
42,10.30.2017,2842.0,200.0,3200.0
43,11.01.2017,2537.0,305.0,4880.0
44,11.02.2017,2497.0,40.0,598.0
45,11.07.2017,3717.0,0.0,0.0
46,11.08.2017,3603.0,114.0,1990.0
47,11.09.2017,3598.0,5.0,88.0
48,11.10.2017,3518.0,80.0,1280.0
49,11.14.2017,3498.0,20.0,352.0
50,11.16.2017,3433.0,65.0,1144.0
51,11.17.2017,2878.0,555.0,8312.0
52,11.20.2017,2573.0,305.0,4562.8
53,11.22.2017,3793.0,0.0,0.0
54,11.29.2017,3183.0,610.0,9760.0
55,11.30.2017,2878.0,305.0,5368.0
56,12.01.2017,1048.0,717.5,24082.8
57,12.04.2017,2878.0,0.0,0.0
58,12.05.2017,2828.0,50.0,748.0
59,12.06.2017,2808.0,20.0,352.0
60,12.08.2017,2805.0,3.0,52.8
61,12.11.2017,2750.0,55.0,723.8
62,12.13.2017,2415.0,335.0,5762.8
63,12.14.2017,2070.0,345.0,5584.0
64,12.15.2017,1765.0,305.0,4880.0
65,12.18.2017,1700.0,65.0,1144.0
66,12.20.2017,1683.0,17.0,299.4
67,12.21.2017,1583.0,100.0,1600.0
68,12.22.2017,1553.0,30.0,528.0
69,12.25.2017,2673.0,100.0,1760.0
70,12.28.2017,2063.0,610.0,9125.6
71,12.29.2017,1758.0,305.0,5368.0
72,01.09.2018,1708.0,50.0,800.0
73,01.10.2018,1403.0,305.0,4880.0
74,01.12.2018,1246.0,157.0,2469.92
75,01.15.2018,1166.0,80.0,1408.0
76,01.17.2018,1151.0,15.0,264.0
77,01.24.2018,1136.0,15.0,240.0
78,01.25.2018,733.0,403.0,6311.68
79,01.29.2018,2258.0,305.0,4880.0
80,01.30.2018,2563.0,305.0,4495.7
81,02.01.2018,2552.0,11.0,189.0
82,02.02.2018,2532.0,20.0,330.0
83,02.06.2018,2227.0,305.0,4788.5
84,02.07.2018,2192.0,35.0,602.0
85,02.08.2018,1582.0,610.0,9577.0
86,02.09.2018,1537.0,45.0,756.0
87,02.12.2018,927.0,610.0,10492.0
88,02.13.2018,845.0,82.0,1372.0
89,02.15.2018,677.0,168.0,2729.6
90,02.16.2018,352.0,325.0,4809.7
91,02.19.2018,2762.0,30.0,534.0
92,02.21.2018,2139.0,623.0,9969.96
93,02.26.2018,2749.0,305.0,4495.7
94,02.27.2018,2729.0,20.0,327.4
95,03.05.2018,3949.0,0.0,0.0
96,03.06.2018,3699.0,250.0,4092.5
97,03.07.2018,3174.0,525.0,9178.5
98,03.12.2018,2849.0,325.0,5068.25
99,03.13.2018,2364.0,485.0,7968.05
100,03.16.2018,2034.0,330.0,5157.25
101,03.19.2018,3834.0,30.0,534.0
102,03.20.2018,4679.0,375.0,6390.95
103,03.22.2018,4374.0,305.0,5242.95
104,03.26.2018,4359.0,15.0,245.55
105,03.27.2018,4299.0,60.0,1068.0
106,03.28.2018,3689.0,610.0,9692.9
107,04.02.2018,3609.0,80.0,1338.2
108,04.06.2018,3238.0,371.0,6453.7
109,04.11.2018,3138.0,100.0,1637.0
110,04.12.2018,2833.0,305.0,4712.25
111,04.13.2018,2773.0,60.0,1068.0
112,04.16.2018,2673.0,100.0,1637.0
113,04.17.2018,2643.0,30.0,534.0
114,04.18.2018,3558.0,0.0,0.0
115,04.20.2018,3253.0,305.0,4992.85
116,04.26.2018,2948.0,305.0,4993.0
117,04.27.2018,2898.0,50.0,815.0
118,04.28.2018,2678.0,220.0,3417.4
119,05.07.2018,2653.0,25.0,445.0
120,05.11.2018,2553.0,100.0,1710.0
121,05.14.2018,2518.0,35.0,572.95
122,05.15.2018,2307.0,211.0,3586.95
123,05.16.2018,1897.0,410.0,6772.85
124,05.18.2018,1592.0,305.0,4992.85
125,05.21.2018,1287.0,305.0,4712.25
126,05.23.2018,1272.0,15.0,267.0
127,05.24.2018,952.0,320.0,5223.75
128,05.28.2018,3352.0,40.0,654.8
129,05.29.2018,2437.0,717.5,15353.7
130,05.31.2018,912.0,717.5,25315.0
131,06.04.2018,527.0,385.0,6756.0
132,06.05.2018,475.0,52.0,988.0
133,06.06.2018,460.0,15.0,289.5
134,06.07.2018,2675.0,225.0,4240.0
135,06.08.2018,2570.0,105.0,1833.0
136,06.09.2018,2560.0,10.0,176.0
137,06.18.2018,2460.0,100.0,1770.0
138,06.22.2018,2410.0,50.0,880.0
139,06.26.2018,1800.0,610.0,9985.7
140,07.03.2018,1780.0,20.0,386.0
141,07.04.2018,1170.0,610.0,10360.85
142,07.09.2018,1150.0,20.0,386.0
143,07.10.2018,1120.0,30.0,454.8
144,07.11.2018,1090.0,30.0,528.0
145,07.12.2018,1005.0,85.0,1445.0
146,07.13.2018,755.0,250.0,4430.5
147,07.16.2018,595.0,160.0,2656.0
148,07.17.2018,2415.0,10.0,193.0
149,07.18.2018,1785.0,630.0,11122.0
150,07.19.2018,1480.0,305.0,5063.0
151,07.20.2018,870.0,610.0,9985.7
152,07.24.2018,860.0,10.0,166.0
153,07.26.2018,555.0,305.0,5886.5
154,07.30.2018,1775.0,0.0,0.0
155,07.31.2018,1470.0,305.0,5734.0
156,08.01.2018,1270.0,200.0,3710.5
157,08.02.2018,2132.0,717.5,17100.4
158,08.03.2018,2082.0,50.0,940.0
159,08.06.2018,2081.0,1.0,20.0
160,08.07.2018,2078.0,3.0,53.7
161,08.09.2018,1468.0,610.0,10345.6
162,08.10.2018,858.0,610.0,10961.7
163,08.13.2018,2078.0,0.0,0.0
164,08.17.2018,248.0,717.5,30927.0
165,08.20.2018,2048.0,30.0,539.0
166,08.22.2018,2038.0,10.0,179.7
167,08.27.2018,1978.0,60.0,1017.6
168,08.29.2018,1928.0,50.0,943.5
169,09.03.2018,1003.0,717.5,16270.25
170,09.06.2018,953.0,50.0,898.5
171,09.10.2018,313.0,640.0,11275.1
172,09.13.2018,283.0,30.0,539.1
173,09.14.2018,278.0,5.0,97.0
174,09.18.2018,2413.0,0.0,0.0
175,09.19.2018,1193.0,717.5,22222.3
176,09.24.2018,3633.0,0.0,0.0
177,09.27.2018,3533.0,100.0,1775.0
178,09.28.2018,3453.0,80.0,1476.8
179,10.01.2018,4018.0,350.0,6123.5
180,10.02.2018,3713.0,305.0,5413.75
181,10.05.2018,3053.0,660.0,11729.2
182,10.09.2018,2953.0,100.0,1846.0
183,10.11.2018,2648.0,305.0,5413.75
184,10.12.2018,2524.0,124.0,2214.06
185,10.15.2018,4354.0,0.0,0.0
186,10.16.2018,4399.0,-45.0,-877.5
187,10.17.2018,4044.0,355.0,6718.0
188,10.22.2018,4024.0,20.0,369.0
189,10.23.2018,4012.0,12.0,234.0
190,10.26.2018,3359.0,653.0,11882.55
191,10.30.2018,3004.0,355.0,6528.8
192,10.31.2018,2984.0,20.0,369.2
193,11.02.2018,2934.0,50.0,887.5
194,11.07.2018,2889.0,45.0,798.0
195,11.12.2018,2584.0,305.0,5413.75
196,11.13.2018,2484.0,100.0,1846.0
197,11.16.2018,2179.0,305.0,5413.75
198,11.19.2018,2079.0,100.0,1950.0
199,11.20.2018,2053.0,26.0,462.8
200,11.21.2018,1588.0,465.0,7866.4
201,11.22.2018,238.0,717.5,21248.8
202,11.26.2018,2048.0,0.0,0.0
203,11.27.2018,5993.0,20.0,390.0
204,11.28.2018,5978.0,15.0,291.0
205,11.30.2018,4453.0,717.5,26211.7
206,12.03.2018,3928.0,525.0,9745.8
207,12.05.2018,3318.0,610.0,11260.6
208,12.06.2018,2916.0,402.0,7387.92
209,12.07.2018,1981.0,717.5,15409.8
210,12.10.2018,506.0,717.5,27176.65
211,12.11.2018,146.0,360.0,6390.0
212,12.18.2018,3806.0,0.0,0.0
213,12.19.2018,3676.0,130.0,2307.5
